;fcitx 版本 0x03 码表文件
键码=abcdefghijklmnopqrstuvwxyz
码长=5
[组词规则]
e2=p11+p12+p21+p22+p00
e3=p11+p21+p22+p31+p32
e4=p11+p21+p31+p41+p42
a5=p11+p21+p31+p41+p51
[数据]
^fo 一
^fh 丁
^fm 丂
^za 七
^hf 丄
^fh 丅
^xf 丆
^fn 万
^fr 丈
^sa 三
^ho 上
^fh 下
^ft 丌
^xh 不
^fm 与
^fh 丏
^fh 丐
^bv 丑
^ny 丒
^dm 专
^ls 且
^xf 丕
^vo 世
^vf 丗
^ea 丘
^fl 丙
^ki 业
^rr 丛
^zk 东
^mm 丝
^bk 丞
^sm 丟
^uq 丠
^fl 両
^gd 丢
^ft 丣
^fl 两
^fk 严
^ik 並
^vi 丧
^hf 丨
^mh 丩
^ro 个
^ih 丫
^uh 丬
^jo 中
^nd 丮
^sh 丯
^sh 丰
^mh 丱
^jj 串
^jj 丳
^kg 临
^ki 丵
^yf 丶
^ia 丷
^wy 丸
^wy 丹
^io 为
^ys 主
^dt 丼
^fl 丽
^of 举
^gf 丿
^na 乀
^na 乁
^ry 乂
^ng 乃
^my 乄
^qy 久
^mr 乆
^gz 乇
^gm 么
^yr 义
^gi 乊
^pf 之
^qm 乌
^gh 乍
^gi 乎
^gp 乏
^qk 乐
^xw 乑
^eg 乒
^ey 乓
^gx 乔
^ed 乕
^gu 乖
^gv 乗
^gu 乘
^na 乙
^mf 乚
^bf 乛
^nm 乜
^wn 九
^gn 乞
^nh 也
^nu 习
^mm 乡
^lm 乢
^mm 乣
^fh 乤
^gi 乥
^bn 书
^uv 乧
^mj 乨
^hj 乩
^nk 乪
^nj 乫
^zb 乬
^xn 乭
^qg 乮
^gi 乯
^bu 买
^gm 乱
^uq 乲
^en 乳
^ae 乴
^ym 乵
^cn 乶
^ok 乷
^nm 乸
^vk 乹
^eb 乺
^yr 乻
^oy 乼
^dn 乽
^vk 乾
^em 乿
^qk 亀
^vk 亁
^eb 亂
^iq 亃
^dp 亄
^hf 亅
^no 了
^qh 亇
^bb 予
^qb 争
^ai 亊
^aj 事
^da 二
^dh 亍
^fa 于
^dm 亏
^dm 亐
^dm 云
^dm 互
^dt 亓
^db 五
^dt 井
^dd 亖
^ld 亗
^dk 亘
^dq 亙
^fk 亚
^hq 些
^dj 亜
^mm 亝
^dm 亞
^nj 亟
^yf 亠
^yz 亡
^yw 亢
^yt 亣
^yr 交
^ym 亥
^yt 亦
^yg 产
^yj 亨
^yk 亩
^yt 亪
^yj 享
^yj 京
^yj 亭
^yj 亮
^yj 亯
^yk 亰
^yt 亱
^yc 亲
^yj 亳
^yj 亴
^ya 亵
^yj 亶
^yg 亷
^yj 亸
^yt 亹
^ra 人
^tf 亻
^rf 亼
^ry 亽
^mr 亾
^tn 亿
^tv 什
^td 仁
^tn 仂
^tf 仃
^xr 仄
^tb 仅
^th 仆
^tw 仇
^tr 仈
^tw 仉
^ry 今
^rt 介
^rr 仌
^tn 仍
^rr 从
^tm 仏
^rv 仐
^rq 仑
^ru 仒
^rn 仓
^tn 仔
^td 仕
^to 他
^tf 仗
^ta 付
^tl 仙
^rl 仚
^tg 仛
^td 仜
^rd 仝
^tn 仞
^tg 仟
^tf 仠
^tg 仡
^tq 仢
^tz 代
^rp 令
^mr 以
^tk 仦
^hf 仧
^ts 仨
^th 仩
^ty 仪
^tg 仫
^tu 们
^tn 仭
^te 仮
^tk 仯
^tq 仰
^tr 仱
^tj 仲
^tq 仳
^tw 仴
^tg 仵
^tg 件
^tr 价
^tg 仸
^ts 仹
^rz 仺
^tg 任
^ts 仼
^tr 份
^td 仾
^ty 仿
^tr 伀
^rh 企
^tf 伂
^tb 伃
^tn 伄
^tz 伅
^tq 伆
^tw 伇
^tp 伈
^ty 伉
^tb 伊
^tn 伋
^tx 伌
^td 伍
^tv 伎
^tx 伏
^tz 伐
^tc 休
^te 伒
^tx 伓
^tp 伔
^td 伕
^tx 伖
^rr 众
^tx 优
^ti 伙
^rd 会
^tz 伛
^tw 伜
^td 伝
^ri 伞
^td 伟
^td 传
^tz 伡
^tz 伢
^tl 伣
^tg 伤
^ts 伥
^tr 伦
^tr 伧
^tq 伨
^ty 伩
^ti 伪
^tp 伫
^tb 伬
^ty 伭
^tm 伮
^tt 伯
^tv 估
^tr 伱
^tb 伲
^tv 伳
^ti 伴
^tl 伵
^tr 伶
^tk 伷
^tk 伸
^tl 伹
^tn 伺
^tf 伻
^tm 似
^tn 伽
^tx 伾
^tj 伿
^tn 佀
^tm 佁
^tf 佂
^tk 佃
^tv 佄
^td 佅
^tk 但
^tp 佇
^tx 佈
^td 佉
^tb 佊
^tn 佋
^th 佌
^ty 位
^tq 低
^ty 住
^tx 佐
^tx 佑
^tl 佒
^tc 体
^th 佔
^tf 何
^tp 佖
^tp 佗
^rd 佘
^rg 余
^tg 佚
^tn 佛
^tg 作
^tq 佝
^td 佞
^tq 佟
^tq 你
^tr 佡
^tz 佢
^tl 佣
^tf 佤
^rd 佥
^tx 佦
^th 佧
^tq 佨
^tw 佩
^tj 佪
^tq 佫
^td 佬
^tq 佭
^tr 佮
^ti 佯
^tf 佰
^rd 佱
^tq 佲
^td 佳
^ts 佴
^ti 併
^td 佶
^tb 佷
^tg 佸
^tq 佹
^tr 佺
^to 佻
^ty 佼
^tu 佽
^tr 佾
^tf 使
^tf 侀
^tg 侁
^tu 侂
^tj 侃
^tz 侄
^ty 侅
^cr 來
^tx 侇
^tq 侈
^tx 侉
^tk 侊
^tf 例
^ry 侌
^td 侍
^ti 侎
^tg 侏
^tg 侐
^tx 侑
^tp 侒
^tb 侓
^tm 侔
^tx 侕
^rf 侖
^tl 侗
^tp 侘
^tz 侙
^tq 侚
^tv 供
^te 侜
^ty 依
^tm 侞
^tx 侟
^td 侠
^tc 価
^tf 侢
^tj 侣
^td 侤
^tz 侥
^th 侦
^tl 侧
^tg 侨
^tr 侩
^ty 侪
^ty 侫
^tp 侬
^tb 侭
^tg 侮
^tb 侯
^tb 侰
^tj 侱
^tx 侲
^tr 侳
^rf 侴
^tb 侵
^tj 侶
^tb 侷
^tf 侸
^tn 侹
^tl 侺
^ti 侻
^tv 侼
^tk 侽
^td 侾
^tf 便
^te 俀
^tj 俁
^tg 係
^tj 促
^tg 俄
^ta 俅
^tr 俆
^tw 俇
^tg 俈
^td 俉
^tm 俊
^tj 俋
^tc 俌
^ty 俍
^rr 俎
^tk 俏
^tg 俐
^tb 俑
^tp 俒
^tz 俓
^tl 俔
^tp 俕
^tx 俖
^tr 俗
^te 俘
^tr 俙
^tk 俚
^tq 俛
^tk 俜
^tj 保
^rf 俞
^tm 俟
^tx 俠
^ty 信
^tq 俢
^tj 俣
^ti 俤
^tc 俥
^ts 俦
^td 俧
^tf 俨
^tf 俩
^tf 俪
^td 俫
^tg 俬
^tr 俭
